id,education_level,stream_or_subject_interest,recommended_degree_or_course,career_field,entry_level_job,mid_level_job,senior_level_job,key_skills_required,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description
283,O/L Completed,Cybersecurity Interest,BSc Cyber Security,Information Security,SOC Analyst,Security Engineer,Security Architect,Ethical Hacking|Linux|Risk Assessment,Perseverance|Ethics|Calm Under Pressure,Cryptography|Malware Analysis|Network Protocols,CISM|CEH,Very High,Very High,180000,210000-670000,Yes,High,Low,Protect computer systems and networks from cyber attacks and unauthorized access.
284,Diploma Holder,Background in Networking,BSc Information Technology / Diploma in Networking,IT Infrastructure,IT Technician,Systems Administrator,IT Infrastructure Manager,Cloud Computing (AWS/Azure)|Routing & Switching|Linux/Windows Server,Troubleshooting|Reliability|Customer Service,Computer Networks|System Administration|Operating Systems,AWS SysOps|CCNA,High,High,140000,170000-500000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
285,O/L Completed,Human Resource Management Interest,BSc Human Resource Management,Human Resources,Recruitment Trainee,Talent Acquisition Specialist,Chief Human Resources Officer (CHRO),Payroll Management|Labor Law Knowledge|Recruitment,Communication|Empathy|Conflict Resolution,Performance Management|Labor Law|Organizational Behavior,PHR|CIPM,Medium,Medium,100000,130000-430000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
286,A/L Completed,Commerce Stream - Accounting focus,BSc Digital Marketing,Marketing,Social Media Coordinator,Digital Marketing Executive,Marketing Director,Google Analytics|Content Creation|SEO/SEM,Creativity|Empathy|Adaptability,Consumer Behavior|Brand Management|Market Research,HubSpot Inbound Marketing|Meta Blueprint,High,High,60000,90000-630000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
287,Graduate,Background in Psychology & Counseling,BA/BSc Psychology,Psychology,HR Assistant,Clinical Psychologist,Director of Mental Health Services,Research Methodology|Psychological Assessment|Therapy Techniques (CBT),Active Listening|Confidentiality|Patience,Cognitive Psychology|Counseling|Abnormal Psychology,Mental Health First Aid|Counseling Diploma,Medium,High,80000,110000-370000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
288,A/L Completed,Arts Stream - Languages focus,BSc Human Resource Management,Human Resources,HR Assistant,Employee Relations Manager,Chief Human Resources Officer (CHRO),Labor Law Knowledge|Recruitment|Payroll Management,Communication|Negotiation|Empathy,Labor Law|Organizational Behavior|Performance Management,PHR|CIPM,Medium,Medium,75000,105000-410000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
289,Career Switcher,IT / Programming Interest,BSc Computer Science,Software Engineering,Associate Software Engineer,Full Stack Developer,Software Architect,Problem Solving|Data Structures|Git,Critical Thinking|Communication|Teamwork,Operating Systems|Databases|Software Patterns,Azure Fundamentals|AWS Certified Developer,Very High,Very High,100000,130000-410000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
290,Diploma Holder,Background in Construction & Structures,BSc Civil Engineering,Civil Engineering,Junior Civil Engineer,Civil Engineer,Engineering Director,Surveying|AutoCAD|Project Management,Problem Solving|Risk Management|Teamwork,Structural Design|Materials Science|Fluid Mechanics,AutoCAD Certification|PMP,Medium,Medium,110000,140000-280000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
291,Career Switcher,Architecture & Built Environment Interest,BArch Architecture,Architecture,Junior Draftsman,Architect,Principal Architect,SketchUp|Building Codes|3D Rendering,Communication|Visualization|Attention to Detail,Architectural Design|Building Materials|History of Architecture,Chartered Architect (AIA)|LEED Green Associate,Medium,Medium,85000,115000-500000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
292,Diploma Holder,Background in Mechanical Systems,BSc Mechanical Engineering,Mechanical Engineering,Maintenance Engineer Trainee,Maintenance Engineer,Plant Manager,Quality Control|Thermodynamics|CAD/CAM,Innovation|Attention to Detail|Troubleshooting,Fluid Mechanics|Machine Design|Thermodynamics,SolidWorks Certification|Six Sigma,Medium,High,115000,145000-320000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
293,Graduate,Background in Agriculture,BSc Agriculture,Agriculture & Agri-Business,Farm Supervisor,Agricultural Officer,Senior Agronomist,"Soil Science|Crop Management|Agri-Tech (IoT, Drones)",Physical Endurance|Problem Solving|Team Management,Agricultural Economics|Soil Science|Crop Science,Pesticide Application License|GAP Certification,Medium,Low,75000,105000-230000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
294,Undergraduate,Background in Healthcare Caregiving,BSc Nursing,Healthcare - Nursing,Student Nurse,ICU Nurse,Nursing Sister,First Aid|Vital Signs Monitoring|Patient Care,Communication|Patience|Empathy,Medical-Surgical Nursing|Pharmacology|Nursing Foundations,Specialized Nursing Certifications|BLS,High,Very High,60000,90000-310000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
295,A/L Pending,Biological Science Stream - Physics/Agri focus,BSc Nursing,Healthcare - Nursing,Assistant Nurse,Staff Nurse,Nursing Sister,First Aid|Patient Care|Infection Control,Resilience|Communication|Empathy,Psychology|Medical-Surgical Nursing|Nursing Foundations,ACLS|BLS,High,Very High,60000,90000-300000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
296,A/L Completed,Commerce Stream - Accounting focus,BBA Business Management,Business Operations,Operations Assistant,Business Analyst,General Manager,Project Management|Strategic Planning|Data Analysis,Leadership|Problem Solving|Negotiation,Marketing|Organizational Behavior|HR,Certified Business Analysis Professional (CBAP)|Agile PM,Medium,High,95000,125000-460000,Yes,Medium,Low,Oversee the day-to-day operations of a company to ensure efficiency and profitability.
297,Undergraduate,Background in Data Analysis & AI,BSc Data Science,Data Science,BI Analyst,Data Engineer,AI Research Scientist,Statistics|Data Viz|SQL,Presentation|Business Acumen|Analytical Thinking,Big Data|Probability|Linear Algebra,Google Data Analytics|IBM Data Science,High,Very High,150000,180000-900000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
298,Diploma Holder,Background in Medicine,MBBS Medicine,Healthcare - Medical,Junior Doctor,Medical Officer,Chief Medical Officer,Diagnosis|Pharmacology|Medical Procedures,Communication|Ethics|Empathy,Anatomy|Pathology|Surgery,MD/MS (Sri Lanka)|MRCP,Very High,Very High,230000,260000-1280000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
299,Career Switcher,Tourism & Hospitality Interest,BSc Hospitality Management,Tourism,Tour Guide,Hotel Manager,General Manager (Hotel),Languages|Property Management Systems|Event Planning,Problem Solving|Customer Service|Interpersonal Skills,Hospitality Operations|HR in Hospitality|Food & Beverage Management,IATA Certification|Food Safety Certification,High,Medium,60000,90000-150000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
300,O/L Completed,Human Resource Management Interest,BSc Human Resource Management,Human Resources,Payroll Clerk,Talent Acquisition Specialist,Chief Human Resources Officer (CHRO),"Payroll Management|Recruitment|HRIS (Workday, BambooHR)",Empathy|Negotiation|Communication,Organizational Behavior|Performance Management|Compensation,SHRM-CP|PHR,Medium,Medium,95000,125000-220000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
301,O/L Completed,Mechanical Systems Interest,BSc Mechanical Engineering,Mechanical Engineering,Design Engineer Intern,Maintenance Engineer,Plant Manager,Quality Control|CAD/CAM|Robotics,Troubleshooting|Analytical Thinking|Attention to Detail,Thermodynamics|Machine Design|Fluid Mechanics,Chartered Engineer (CEng)|SolidWorks Certification,Medium,High,85000,115000-250000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
302,Career Switcher,Agriculture Interest,BSc Agriculture,Agriculture & Agri-Business,Field Officer,Agronomist,Senior Agronomist,"Crop Management|Soil Science|Agri-Tech (IoT, Drones)",Adaptability|Team Management|Problem Solving,Crop Science|Plant Biotechnology|Soil Science,Pesticide Application License|GAP Certification,Medium,Low,65000,95000-170000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
303,A/L Completed,Biological Science Stream - Physics/Agri focus,MBBS Medicine,Healthcare - Medical,Medical Intern,Medical Officer,Consultant Specialist,Patient Care|Diagnosis|Medical Procedures,Empathy|Communication|Decision Making Under Pressure,Physiology|Pathology|Anatomy,USMLE|MRCP,Very High,Very High,185000,215000-1670000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
304,Graduate,Background in Design & Multimedia,BA Graphic Design / Diploma in Multimedia,Design,Junior Graphic Designer,UI/UX Designer,Senior Art Director,Typography|Adobe Illustrator|Photoshop,Time Management|Attention to Detail|Receptivity to Feedback,Visual Communication|User Experience|Design Principles,Google UX Design|Adobe Certified Professional,High,High,85000,115000-400000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
305,A/L Completed,Technology Stream - IT focus,BSc Computer Science,Software Engineering,Junior Software Developer,Software Engineer,Tech Lead,Programming|Algorithms|Git,Time Management|Teamwork|Critical Thinking,Math for CS|Databases|Operating Systems,Scrum Master|AWS Certified Developer,Very High,Very High,155000,185000-490000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
306,A/L Pending,Technology Stream - ET/BST focus,BSc Information Technology / Diploma in Networking,IT Infrastructure,Junior Systems Administrator,Systems Administrator,Network Architect,Routing & Switching|Linux/Windows Server|Cloud Computing (AWS/Azure),Communication|Troubleshooting|Customer Service,Operating Systems|Computer Networks|System Administration,CCNP|CompTIA Network+,High,High,110000,140000-520000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
307,A/L Pending,Technology Stream - SFT focus,BA Graphic Design / Diploma in Multimedia,Design,Junior Graphic Designer,Art Director,Senior Art Director,Color Theory|Typography|Figma,Creativity|Time Management|Attention to Detail,Design Principles|Digital Art|Visual Communication,Adobe Certified Professional|Google UX Design,High,High,85000,115000-440000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
308,O/L Completed,Medicine Interest,MBBS Medicine,Healthcare - Medical,Junior Doctor,Registrar,Chief Medical Officer,Diagnosis|Patient Care|Medical Procedures,Communication|Empathy|Decision Making Under Pressure,Anatomy|Pathology|Surgery,MRCP|MD/MS (Sri Lanka),Very High,Very High,240000,270000-1270000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
309,Career Switcher,IT / Programming Interest,BSc Computer Science,Software Engineering,Junior Software Developer,Full Stack Developer,Software Architect,Programming|Git|Algorithms,Time Management|Communication|Critical Thinking,Software Patterns|Math for CS|Operating Systems,AWS Certified Developer|Scrum Master,Very High,Very High,100000,130000-680000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
310,Graduate,Background in Mechanical Systems,BSc Mechanical Engineering,Mechanical Engineering,Maintenance Engineer Trainee,Maintenance Engineer,Plant Manager,Thermodynamics|CAD/CAM|Quality Control,Troubleshooting|Innovation|Analytical Thinking,Fluid Mechanics|Machine Design|Thermodynamics,Six Sigma|SolidWorks Certification,Medium,High,125000,155000-410000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
311,O/L Completed,Agriculture Interest,BSc Agriculture,Agriculture & Agri-Business,Agricultural Assistant,Plantation Manager,Director of Agriculture,Crop Management|Pest Control|Soil Science,Team Management|Physical Endurance|Problem Solving,Crop Science|Soil Science|Agricultural Economics,Pesticide Application License|GAP Certification,Medium,Low,80000,110000-400000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
312,Diploma Holder,Background in Networking,BSc Information Technology / Diploma in Networking,IT Infrastructure,Network Support Engineer,Network Engineer,IT Infrastructure Manager,Cloud Computing (AWS/Azure)|Routing & Switching|Linux/Windows Server,Reliability|Customer Service|Troubleshooting,System Administration|Computer Networks|Operating Systems,CCNP|CompTIA Network+,High,High,100000,130000-570000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
313,Undergraduate,Background in Healthcare Caregiving,BSc Nursing,Healthcare - Nursing,Trainee Staff Nurse,ICU Nurse,Matron,Vital Signs Monitoring|Infection Control|Patient Care,Resilience|Empathy|Communication,Pharmacology|Medical-Surgical Nursing|Nursing Foundations,Specialized Nursing Certifications|BLS,High,Very High,80000,110000-330000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
314,Undergraduate,Background in Accounting & Finance,BSc Accounting and Finance,Finance,Junior Accountant,Financial Analyst,Senior Auditor,Taxation|Excel|ERP Systems,Analytical Thinking|Ethics|Attention to Detail,Management Accounting|Corporate Finance|Economics,CA Sri Lanka|ACCA,High,High,100000,130000-420000,Yes,Medium,High,"Manage financial records, analyze financial data, and ensure legal tax compliance for organizations."
315,Undergraduate,Background in Human Resource Management,BSc Human Resource Management,Human Resources,Payroll Clerk,HR Manager,Chief Human Resources Officer (CHRO),"HRIS (Workday, BambooHR)|Payroll Management|Labor Law Knowledge",Empathy|Conflict Resolution|Negotiation,Labor Law|Compensation|Organizational Behavior,CIPM|SHRM-CP,Medium,Medium,80000,110000-460000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
316,Career Switcher,Tourism & Hospitality Interest,BSc Hospitality Management,Tourism,Tour Guide,Event Manager,Director of Tourism,Property Management Systems|Languages|Event Planning,Cultural Awareness|Interpersonal Skills|Customer Service,Tourism Marketing|HR in Hospitality|Food & Beverage Management,Language Diplomas|Food Safety Certification,High,Medium,90000,120000-160000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
317,O/L Completed,Education & Teaching Interest,BA/BSc / BEd Education,Education,Trainee Teacher,Teacher,Principal,Lesson Planning|Educational Technology|Curriculum Development,Empathy|Mentorship|Patience,Curriculum Design|Teaching Methodology|Educational Psychology,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,55000,85000-130000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
318,Graduate,Background in Education & Teaching,BA/BSc / BEd Education,Education,Teaching Assistant,Teacher,Senior Teacher,Educational Technology|Student Assessment|Lesson Planning,Public Speaking|Mentorship|Patience,Subject-Specific Focus|Educational Psychology|Curriculum Design,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,65000,95000-220000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
319,Diploma Holder,Background in Data Analysis & AI,BSc Data Science,Data Science,Junior Data Scientist,Data Engineer,Senior Data Scientist,Python|Data Viz|Machine Learning,Presentation|Curiosity|Analytical Thinking,Big Data|Probability|Deep Learning,IBM Data Science|Google Data Analytics,High,Very High,125000,155000-470000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
320,A/L Pending,Arts Stream - Logic/Media focus,BSc Hospitality Management,Tourism,Front Office Assistant,Event Manager,Resort Manager,Inventory Management|Languages|Event Planning,Cultural Awareness|Customer Service|Interpersonal Skills,Food & Beverage Management|HR in Hospitality|Hospitality Operations,Language Diplomas|Food Safety Certification,High,Medium,90000,120000-170000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
321,Career Switcher,Medicine Interest,MBBS Medicine,Healthcare - Medical,Medical Intern,Registrar,Chief Medical Officer,Diagnosis|Pharmacology|Medical Procedures,Decision Making Under Pressure|Communication|Empathy,Pathology|Surgery|Pediatrics,USMLE|MD/MS (Sri Lanka),Very High,Very High,170000,200000-870000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
322,A/L Pending,Technology Stream - ET/BST focus,BSc Cyber Security,Information Security,SOC Analyst,Penetration Tester,Chief Information Security Officer (CISO),Ethical Hacking|Linux|Network Security,Analytical Thinking|Perseverance|Ethics,Malware Analysis|Digital Forensics|Cryptography,CISM|CompTIA Security+,Very High,Very High,180000,210000-580000,Yes,High,Low,Protect computer systems and networks from cyber attacks and unauthorized access.
323,O/L Completed,Networking Interest,BSc Information Technology / Diploma in Networking,IT Infrastructure,Junior Systems Administrator,Cloud Engineer,Senior Cloud Architect,Cloud Computing (AWS/Azure)|Linux/Windows Server|Routing & Switching,Customer Service|Troubleshooting|Communication,Operating Systems|Computer Networks|System Administration,CCNA|CCNP,High,High,95000,125000-570000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
324,A/L Completed,Physical Science Stream - Math focus,BSc Civil Engineering,Civil Engineering,Junior Civil Engineer,Structural Engineer,Engineering Director,AutoCAD|Surveying|Project Management,Teamwork|Problem Solving|Leadership,Materials Science|Fluid Mechanics|Geotechnical Engineering,Chartered Engineer (CEng)|PMP,Medium,Medium,80000,110000-620000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
325,O/L Completed,Psychology & Counseling Interest,BA/BSc Psychology,Psychology,Assistant Psychologist,Organizational Psychologist,Chief HR Officer,Research Methodology|Psychological Assessment|Therapy Techniques (CBT),Patience|Confidentiality|Empathy,Abnormal Psychology|Developmental Psychology|Counseling,Counseling Diploma|Clinical Psychology Masters,Medium,High,65000,95000-350000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
326,O/L Completed,Human Resource Management Interest,BSc Human Resource Management,Human Resources,HR Assistant,HR Manager,Chief Human Resources Officer (CHRO),"Payroll Management|HRIS (Workday, BambooHR)|Labor Law Knowledge",Communication|Empathy|Negotiation,Labor Law|Performance Management|Organizational Behavior,SHRM-CP|PHR,Medium,Medium,75000,105000-440000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
327,Diploma Holder,Background in Law & Justice,LLB Law,Legal Services,Apprentice,Attorney-at-Law,Chief Legal Officer,Litigation|Compliance|Legal Research,Analytical Thinking|Argumentation|Public Speaking,Corporate Law|Criminal Law|Contract Law,Attorney-at-Law (Sri Lanka Law College)|Notary Public,Medium,Medium,55000,85000-230000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
328,Graduate,Background in Architecture & Built Environment,BArch Architecture,Architecture,Design Intern,Interior Designer,Senior Architect,Revit|3D Rendering|Building Codes,Creativity|Attention to Detail|Visualization,Structural Design|History of Architecture|Building Materials,Chartered Architect (AIA)|LEED Green Associate,Medium,Medium,75000,105000-620000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
329,Undergraduate,Background in Construction & Structures,BSc Civil Engineering,Civil Engineering,Site Engineer,Civil Engineer,Senior Civil Engineer,Project Management|Structural Analysis|Surveying,Risk Management|Leadership|Problem Solving,Structural Design|Geotechnical Engineering|Materials Science,AutoCAD Certification|PMP,Medium,Medium,70000,100000-370000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
330,Diploma Holder,Background in Law & Justice,LLB Law,Legal Services,Legal Assistant,Legal Consultant,Judge,Litigation|Compliance|Drafting Contracts,Public Speaking|Argumentation|Negotiation,Contract Law|Corporate Law|Criminal Law,Notary Public|Attorney-at-Law (Sri Lanka Law College),Medium,Medium,75000,105000-220000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
331,Diploma Holder,Background in Design & Multimedia,BA Graphic Design / Diploma in Multimedia,Design,Visual Designer,Graphic Designer,Creative Director,Figma|Adobe Illustrator|Typography,Time Management|Attention to Detail|Receptivity to Feedback,User Experience|Design Principles|Visual Communication,Google UX Design|Adobe Certified Professional,High,High,110000,140000-390000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
332,O/L Completed,IT / Programming Interest,BSc Computer Science,Software Engineering,Associate Software Engineer,Backend Engineer,Senior Developer,Programming|Algorithms|Data Structures,Teamwork|Communication|Critical Thinking,Operating Systems|Databases|Software Patterns,Azure Fundamentals|AWS Certified Developer,Very High,Very High,100000,130000-730000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
333,A/L Completed,Physical Science Stream - Physics focus,BSc Mechanical Engineering,Mechanical Engineering,Maintenance Engineer Trainee,Maintenance Engineer,Senior Mechanical Engineer,Quality Control|Thermodynamics|CAD/CAM,Attention to Detail|Analytical Thinking|Innovation,Fluid Mechanics|Thermodynamics|Machine Design,Six Sigma|SolidWorks Certification,Medium,High,70000,100000-650000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
334,O/L Completed,Design & Multimedia Interest,BA Graphic Design / Diploma in Multimedia,Design,UI/UX Intern,Art Director,Senior Art Director,Adobe Illustrator|Photoshop|Figma,Creativity|Time Management|Receptivity to Feedback,User Experience|Design Principles|Visual Communication,Google UX Design|Adobe Certified Professional,High,High,105000,135000-200000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
335,O/L Completed,Mechanical Systems Interest,BSc Mechanical Engineering,Mechanical Engineering,Design Engineer Intern,Maintenance Engineer,Plant Manager,CAD/CAM|Thermodynamics|Quality Control,Innovation|Attention to Detail|Troubleshooting,Control Systems|Thermodynamics|Machine Design,Six Sigma|Chartered Engineer (CEng),Medium,High,115000,145000-620000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
336,A/L Pending,Technology Stream - SFT focus,BSc Mechanical Engineering,Mechanical Engineering,Junior Mechanical Engineer,Mechanical Engineer,Engineering Director,Quality Control|Robotics|Thermodynamics,Analytical Thinking|Attention to Detail|Troubleshooting,Machine Design|Control Systems|Fluid Mechanics,SolidWorks Certification|Six Sigma,Medium,High,80000,110000-350000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
337,A/L Pending,Physical Science Stream - Chemistry/IT focus,BSc Agriculture,Agriculture & Agri-Business,Agricultural Assistant,Agronomist,Director of Agriculture,Soil Science|Crop Management|Pest Control,Physical Endurance|Team Management|Adaptability,Crop Science|Soil Science|Agricultural Economics,Pesticide Application License|GAP Certification,Medium,Low,60000,90000-150000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
338,A/L Pending,Biological Science Stream - Biology focus,BSc Nursing,Healthcare - Nursing,Assistant Nurse,Registered Nurse,Chief Nursing Officer,First Aid|Vital Signs Monitoring|Patient Care,Communication|Patience|Resilience,Medical-Surgical Nursing|Nursing Foundations|Psychology,BLS|Specialized Nursing Certifications,High,Very High,95000,125000-540000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
339,Diploma Holder,Background in Accounting & Finance,BSc Accounting and Finance,Finance,Accounts Assistant,Tax Executive,Senior Auditor,ERP Systems|Excel|Financial Reporting,Integrity|Analytical Thinking|Attention to Detail,Corporate Finance|Management Accounting|Economics,CMA|CIMA,High,High,65000,95000-230000,Yes,Medium,High,"Manage financial records, analyze financial data, and ensure legal tax compliance for organizations."
340,Graduate,Background in Design & Multimedia,BA Graphic Design / Diploma in Multimedia,Design,Visual Designer,UI/UX Designer,Creative Director,Typography|Adobe Illustrator|Figma,Receptivity to Feedback|Creativity|Attention to Detail,Digital Art|Design Principles|Visual Communication,Google UX Design|Adobe Certified Professional,High,High,50000,80000-380000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
341,Undergraduate,Background in Law & Justice,LLB Law,Legal Services,Legal Assistant,Legal Consultant,Senior Counsel,Legal Research|Compliance|Litigation,Negotiation|Public Speaking|Analytical Thinking,Constitutional Law|Contract Law|Corporate Law,Notary Public|Attorney-at-Law (Sri Lanka Law College),Medium,Medium,85000,115000-460000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
342,Undergraduate,Background in Business Management,BBA Business Management,Business Operations,Operations Assistant,Operations Manager,Chief Operating Officer,Strategic Planning|Budgeting|Data Analysis,Negotiation|Decision Making|Leadership,Marketing|Strategic Management|HR,PMP|Agile PM,Medium,High,85000,115000-590000,Yes,Medium,Low,Oversee the day-to-day operations of a company to ensure efficiency and profitability.
343,Diploma Holder,Background in Construction & Structures,BSc Civil Engineering,Civil Engineering,Junior Civil Engineer,Civil Engineer,Senior Civil Engineer,Structural Analysis|Surveying|Project Management,Leadership|Teamwork|Risk Management,Materials Science|Structural Design|Fluid Mechanics,AutoCAD Certification|PMP,Medium,Medium,85000,115000-470000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
344,Undergraduate,Background in Data Analysis & AI,BSc Data Science,Data Science,Data Analyst,Machine Learning Engineer,Chief Data Officer,Statistics|Python|Machine Learning,Analytical Thinking|Presentation|Business Acumen,Probability|Deep Learning|Linear Algebra,AWS Machine Learning|IBM Data Science,High,Very High,125000,155000-920000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
345,Career Switcher,Marketing & Digital Media Interest,BSc Digital Marketing,Marketing,Marketing Assistant,Content Strategist,Chief Marketing Officer,Social Media Ads|Content Creation|SEO/SEM,Creativity|Adaptability|Empathy,Digital Strategy|Brand Management|Market Research,HubSpot Inbound Marketing|Meta Blueprint,High,High,105000,135000-280000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
346,Diploma Holder,Background in Architecture & Built Environment,BArch Architecture,Architecture,Design Intern,Project Architect,Design Director,3D Rendering|Building Codes|SketchUp,Communication|Visualization|Creativity,Building Materials|Architectural Design|History of Architecture,LEED Green Associate|Chartered Architect (AIA),Medium,Medium,90000,120000-640000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
347,Undergraduate,Background in Accounting & Finance,BSc Accounting and Finance,Finance,Audit Trainee,Tax Executive,Finance Manager,Financial Reporting|ERP Systems|Taxation,Integrity|Analytical Thinking|Attention to Detail,Management Accounting|Corporate Finance|Economics,CA Sri Lanka|CIMA,High,High,95000,125000-360000,Yes,Medium,High,"Manage financial records, analyze financial data, and ensure legal tax compliance for organizations."
348,Career Switcher,Cybersecurity Interest,BSc Cyber Security,Information Security,Junior Penetration Tester,Cyber Security Specialist,Chief Information Security Officer (CISO),Network Security|Linux|Risk Assessment,Calm Under Pressure|Ethics|Analytical Thinking,Malware Analysis|Digital Forensics|Cryptography,CEH|CISM,Very High,Very High,205000,235000-1050000,Yes,High,Low,Protect computer systems and networks from cyber attacks and unauthorized access.
349,O/L Completed,Logistics & Supply Chain Interest,BSc Supply Chain Management,Logistics,Logistics Coordinator,Supply Chain Manager,Procurement Director,ERP Software (SAP/Oracle)|Freight Forwarding|Inventory Management,Negotiation|Leadership|Problem Solving,Global Supply Chain|Transportation Management|Procurement,CIPS|Six Sigma,High,High,95000,125000-260000,No,Low,Medium,Oversee the movement of goods from suppliers to consumers efficiently and cost-effectively.
350,Graduate,Background in Psychology & Counseling,BA/BSc Psychology,Psychology,HR Assistant,Clinical Psychologist,Director of Mental Health Services,Therapy Techniques (CBT)|Research Methodology|Psychological Assessment,Empathy|Patience|Confidentiality,Abnormal Psychology|Cognitive Psychology|Counseling,Clinical Psychology Masters|Counseling Diploma,Medium,High,90000,120000-320000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
351,Undergraduate,Background in Construction & Structures,BSc Civil Engineering,Civil Engineering,Junior Civil Engineer,Civil Engineer,Senior Civil Engineer,Structural Analysis|Surveying|Project Management,Leadership|Problem Solving|Risk Management,Fluid Mechanics|Materials Science|Geotechnical Engineering,Chartered Engineer (CEng)|PMP,Medium,Medium,120000,150000-590000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
352,O/L Completed,Human Resource Management Interest,BSc Human Resource Management,Human Resources,HR Assistant,Employee Relations Manager,HR Director,"HRIS (Workday, BambooHR)|Recruitment|Payroll Management",Empathy|Conflict Resolution|Negotiation,Labor Law|Organizational Behavior|Performance Management,PHR|CIPM,Medium,Medium,100000,130000-170000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
