id,education_level,stream_or_subject_interest,recommended_degree_or_course,career_field,entry_level_job,mid_level_job,senior_level_job,key_skills_required,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description
105,A/L Completed,Maths;ICT;Technology,BSc Cyber Security,Information Security,Junior Penetration Tester,Cyber Security Specialist,Chief Information Security Officer (CISO),Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Moderate,High,126000,481000-1920000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
106,Diploma Holder,Maths;ICT;Technology,BSc Cyber Security,Information Security,Security Analyst Trainee,Cyber Security Specialist,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Moderate,High,131000,750000-1500000,Yes,High,Medium,Protecting computer systems and networks from cyber attacks and unauthorized access.
107,Career Switcher,Maths;ICT;Technology,BSc Cyber Security,Information Security,SOC Analyst,Penetration Tester,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,High,High,104000,448000-1790000,Yes,High,Medium,Protecting computer systems and networks from cyber attacks and unauthorized access.
108,Undergraduate,Maths;ICT;Technology,BSc Information Security,Information Security,Security Analyst Trainee,Penetration Tester,Chief Information Security Officer (CISO),Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,High,Medium,161000,465000-1860000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
109,A/L Completed,Maths;ICT;Technology,BSc Cyber Security,Information Security,SOC Analyst,Penetration Tester,Cyber Security Manager,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Very High,High,137000,701000-1400000,Yes,High,Medium,Protecting computer systems and networks from cyber attacks and unauthorized access.
110,Undergraduate,Maths;ICT;Technology,BSc Information Security,Information Security,Junior Penetration Tester,Cyber Security Specialist,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,High,Very High,116000,660000-2640000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
111,Career Switcher,Maths;ICT;Technology,BSc Computer Science,Information Security,Junior Penetration Tester,Penetration Tester,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Moderate,Very High,178000,578000-2310000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
112,A/L Completed,Maths;ICT;Technology,BSc Cyber Security,Information Security,SOC Analyst,Cyber Security Specialist,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,High,Medium,110000,727000-1450000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
113,Graduate,Maths;ICT;Technology,BSc Information Security,Information Security,SOC Analyst,Cyber Security Specialist,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Very High,Medium,121000,620000-1240000,Yes,High,Medium,Protecting computer systems and networks from cyber attacks and unauthorized access.
114,O/L Completed,Maths;ICT;Technology,Diploma in Cyber Security,Information Security,SOC Analyst,Security Engineer,Chief Information Security Officer (CISO),Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Moderate,High,149000,424000-1270000,Yes,High,Medium,Protecting computer systems and networks from cyber attacks and unauthorized access.
115,Diploma Holder,Maths;ICT;Technology,Certificate in Network Security,Information Security,SOC Analyst,Cyber Security Specialist,Cyber Security Manager,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,High,High,112000,475000-1430000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
116,O/L Completed,Maths;ICT;Technology,Foundation in IT,Information Security,Security Analyst Trainee,Cyber Security Specialist,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Moderate,Very High,127000,714000-2140000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
117,Undergraduate,Maths;ICT;Technology,BSc Cyber Security,Information Security,SOC Analyst,Security Engineer,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Very High,High,164000,575000-1150000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
118,O/L Completed,Maths;ICT;Technology,Certificate in Network Security,Information Security,SOC Analyst,Cyber Security Specialist,Cyber Security Manager,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Moderate,High,179000,503000-1010000,Yes,High,Medium,Protecting computer systems and networks from cyber attacks and unauthorized access.
119,Graduate,Maths;ICT;Technology,BSc Computer Science,Information Security,Security Analyst Trainee,Penetration Tester,Cyber Security Manager,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,High,High,159000,426000-1280000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
120,Career Switcher,Maths;ICT;Technology,BSc Information Security,Information Security,SOC Analyst,Penetration Tester,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Very High,Very High,122000,799000-3190000,Yes,High,Medium,Protecting computer systems and networks from cyber attacks and unauthorized access.
121,A/L Completed,Maths;ICT;Technology,BSc Cyber Security,Information Security,Security Analyst Trainee,Security Engineer,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Very High,Medium,113000,669000-1340000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
122,Undergraduate,Maths;ICT;Technology,BSc Information Security,Information Security,Security Analyst Trainee,Security Engineer,Chief Information Security Officer (CISO),Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,High,Very High,124000,568000-1140000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
123,O/L Completed,Maths;ICT;Technology,Certificate in Network Security,Information Security,Security Analyst Trainee,Cyber Security Specialist,Cyber Security Manager,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Very High,Medium,123000,693000-1390000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
124,Diploma Holder,Maths;ICT;Technology,BSc Cyber Security,Information Security,Junior Penetration Tester,Security Engineer,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Moderate,Very High,158000,631000-2520000,Yes,High,Medium,Protecting computer systems and networks from cyber attacks and unauthorized access.
125,A/L Pending,Maths;ICT;Technology,BSc Computer Science,Information Security,Security Analyst Trainee,Cyber Security Specialist,Chief Information Security Officer (CISO),Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,High,Very High,107000,710000-2840000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
126,A/L Pending,Maths;ICT;Technology,BSc Cyber Security,Information Security,Security Analyst Trainee,Security Engineer,Cyber Security Manager,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,High,Very High,140000,695000-2780000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
127,Undergraduate,Maths;ICT;Technology,BSc Cyber Security,Information Security,Security Analyst Trainee,Cyber Security Specialist,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,High,Very High,129000,508000-1520000,Yes,High,Medium,Protecting computer systems and networks from cyber attacks and unauthorized access.
128,O/L Completed,Maths;ICT;Technology,Diploma in Cyber Security,Information Security,Junior Penetration Tester,Security Engineer,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,High,High,163000,669000-1340000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
129,Career Switcher,Maths;ICT;Technology,BSc Cyber Security,Information Security,Junior Penetration Tester,Security Engineer,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,High,High,137000,419000-1260000,Yes,High,Medium,Protecting computer systems and networks from cyber attacks and unauthorized access.
130,Career Switcher,Maths;ICT;Technology,BSc Cyber Security,Information Security,SOC Analyst,Cyber Security Specialist,Chief Information Security Officer (CISO),Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,High,Medium,119000,499000-2000000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
131,Undergraduate,Maths;ICT;Technology,BSc Computer Science,Information Security,Junior Penetration Tester,Penetration Tester,Chief Information Security Officer (CISO),Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Moderate,High,102000,673000-2020000,Yes,High,Medium,Protecting computer systems and networks from cyber attacks and unauthorized access.
132,Diploma Holder,Maths;ICT;Technology,Foundation in IT,Information Security,SOC Analyst,Cyber Security Specialist,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Very High,Medium,133000,536000-2150000,Yes,High,Medium,Protecting computer systems and networks from cyber attacks and unauthorized access.
133,Graduate,Maths;ICT;Technology,BSc Cyber Security,Information Security,Security Analyst Trainee,Cyber Security Specialist,Chief Information Security Officer (CISO),Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Moderate,Medium,157000,609000-1830000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
134,Undergraduate,Maths;ICT;Technology,BSc Computer Science,Information Security,Security Analyst Trainee,Penetration Tester,Chief Information Security Officer (CISO),Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Very High,Very High,130000,618000-1240000,Yes,High,Low,Protecting computer systems and networks from cyber attacks and unauthorized access.
135,O/L Completed,Maths;ICT;Technology,Certificate in Network Security,Information Security,SOC Analyst,Cyber Security Specialist,Security Architect,Network Security;Ethical Hacking;Linux;Risk Assessment,Perseverance;Problem Solving;Ethics;Analytical Thinking,Cryptography;Network Protocols;Malware Analysis;Digital Forensics,CEH;CompTIA Security+;CISSP;CISM,Moderate,Very High,171000,567000-1130000,Yes,High,Medium,Protecting computer systems and networks from cyber attacks and unauthorized access.
136,A/L Pending,Maths;ICT;Technology,BSc Information Technology,IT Infrastructure,Junior Systems Administrator,Systems Administrator,Network Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,High,Medium,99000,480000-1440000,Yes,Medium,Medium,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
137,Career Switcher,Maths;ICT;Technology,BSc Information Technology,IT Infrastructure,Network Support Engineer,Cloud Engineer,IT Infrastructure Manager,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Very High,Medium,111000,440000-1320000,Yes,Medium,Medium,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
138,Career Switcher,Maths;ICT;Technology,BSc Cloud Computing,IT Infrastructure,Junior Systems Administrator,Network Engineer,Network Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Moderate,Very High,76000,474000-1420000,Yes,Medium,Medium,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
139,Undergraduate,Maths;ICT;Technology,BSc Computer Networking,IT Infrastructure,Network Support Engineer,Network Engineer,Network Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Moderate,Medium,97000,250000-750000,Yes,Medium,Low,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
140,Graduate,Maths;ICT;Technology,BSc Information Technology,IT Infrastructure,Network Support Engineer,Systems Administrator,Network Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,High,High,97000,327000-1310000,Yes,Medium,Medium,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
141,Graduate,Maths;ICT;Technology,BSc Cloud Computing,IT Infrastructure,Network Support Engineer,Network Engineer,IT Infrastructure Manager,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Very High,High,115000,437000-1310000,Yes,Medium,Medium,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
142,Career Switcher,Maths;ICT;Technology,BSc Computer Networking,IT Infrastructure,Junior Systems Administrator,Cloud Engineer,Senior Cloud Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,High,High,78000,304000-1220000,Yes,Medium,Low,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
143,Career Switcher,Maths;ICT;Technology,BSc Information Technology,IT Infrastructure,IT Technician,Network Engineer,Network Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,High,Medium,100000,385000-770000,Yes,Medium,Low,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
144,A/L Completed,Maths;ICT;Technology,BSc Cloud Computing,IT Infrastructure,Junior Systems Administrator,Systems Administrator,IT Infrastructure Manager,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Moderate,Very High,115000,461000-1380000,Yes,Medium,Low,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
145,Diploma Holder,Maths;ICT;Technology,NVQ Level 4 Network Technician,IT Infrastructure,Junior Systems Administrator,Network Engineer,Senior Cloud Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Moderate,High,115000,485000-970000,Yes,Medium,Low,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
146,Graduate,Maths;ICT;Technology,BSc Information Technology,IT Infrastructure,IT Technician,Systems Administrator,IT Infrastructure Manager,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Very High,Very High,111000,297000-890000,Yes,Medium,Medium,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
147,Undergraduate,Maths;ICT;Technology,BSc Computer Networking,IT Infrastructure,Network Support Engineer,Network Engineer,Senior Cloud Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Moderate,High,113000,435000-1310000,Yes,Medium,Medium,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
148,Diploma Holder,Maths;ICT;Technology,BSc Cloud Computing,IT Infrastructure,Junior Systems Administrator,Systems Administrator,Network Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Moderate,Medium,72000,377000-750000,Yes,Medium,Low,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
149,Undergraduate,Maths;ICT;Technology,BSc Information Technology,IT Infrastructure,Network Support Engineer,Systems Administrator,IT Infrastructure Manager,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Very High,Medium,120000,363000-1450000,Yes,Medium,Medium,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
150,A/L Completed,Maths;ICT;Technology,BSc Computer Networking,IT Infrastructure,IT Technician,Cloud Engineer,IT Infrastructure Manager,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Very High,Medium,100000,482000-1930000,Yes,Medium,Low,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
151,Career Switcher,Maths;ICT;Technology,BSc Information Technology,IT Infrastructure,Network Support Engineer,Cloud Engineer,Senior Cloud Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,High,High,80000,426000-850000,Yes,Medium,Medium,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
152,O/L Completed,Maths;ICT;Technology,Diploma in Networking,IT Infrastructure,Network Support Engineer,Cloud Engineer,Network Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Very High,High,100000,461000-1380000,Yes,Medium,Low,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
153,Undergraduate,Maths;ICT;Technology,BSc Cloud Computing,IT Infrastructure,Junior Systems Administrator,Cloud Engineer,Senior Cloud Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Very High,Very High,98000,361000-720000,Yes,Medium,Low,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
154,Career Switcher,Maths;ICT;Technology,BSc Cloud Computing,IT Infrastructure,IT Technician,Network Engineer,IT Infrastructure Manager,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Very High,High,73000,323000-1290000,Yes,Medium,Medium,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
155,A/L Pending,Maths;ICT;Technology,Diploma in Networking,IT Infrastructure,Network Support Engineer,Network Engineer,Senior Cloud Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Very High,High,116000,353000-1410000,Yes,Medium,Low,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
156,Undergraduate,Maths;ICT;Technology,BSc Cloud Computing,IT Infrastructure,IT Technician,Systems Administrator,Network Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,High,Medium,98000,476000-1430000,Yes,Medium,Low,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
157,Career Switcher,Maths;ICT;Technology,BSc Information Technology,IT Infrastructure,Network Support Engineer,Network Engineer,Senior Cloud Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,High,High,84000,283000-1130000,Yes,Medium,Medium,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
158,Graduate,Maths;ICT;Technology,BSc Information Technology,IT Infrastructure,Junior Systems Administrator,Systems Administrator,IT Infrastructure Manager,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Moderate,Medium,117000,278000-560000,Yes,Medium,Medium,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
159,Career Switcher,Maths;ICT;Technology,BSc Computer Networking,IT Infrastructure,IT Technician,Network Engineer,IT Infrastructure Manager,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,High,High,97000,287000-1150000,Yes,Medium,Medium,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
160,Graduate,Maths;ICT;Technology,BSc Cloud Computing,IT Infrastructure,Junior Systems Administrator,Network Engineer,IT Infrastructure Manager,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,High,Very High,120000,319000-640000,Yes,Medium,Low,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
161,A/L Pending,Maths;ICT;Technology,Foundation in IT,IT Infrastructure,Network Support Engineer,Network Engineer,Senior Cloud Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Moderate,Medium,101000,476000-1430000,Yes,Medium,Low,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
162,O/L Completed,Maths;ICT;Technology,NVQ Level 4 Network Technician,IT Infrastructure,IT Technician,Systems Administrator,Senior Cloud Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Moderate,Very High,91000,352000-1060000,Yes,Medium,Low,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
163,A/L Pending,Maths;ICT;Technology,BSc Cloud Computing,IT Infrastructure,Junior Systems Administrator,Cloud Engineer,IT Infrastructure Manager,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Moderate,High,97000,322000-640000,Yes,Medium,Medium,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
164,A/L Completed,Maths;ICT;Technology,BSc Computer Networking,IT Infrastructure,IT Technician,Cloud Engineer,IT Infrastructure Manager,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,Very High,Medium,92000,303000-910000,Yes,Medium,Medium,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
165,A/L Completed,Maths;ICT;Technology,BSc Computer Networking,IT Infrastructure,Junior Systems Administrator,Cloud Engineer,Senior Cloud Architect,Linux/Windows Server;Routing & Switching;Cloud Computing (AWS/Azure),Troubleshooting;Customer Service;Reliability;Time Management,Computer Networks;System Administration;Operating Systems,CCNA;CompTIA Network+;AWS SysOps;CCNP,High,Medium,109000,382000-1530000,Yes,Medium,Low,"Designing, installing, and maintaining the computer networks and systems that organizations rely on."
